identifier,category,information_element,modification_type,Follow the suggestions or not,Pull request is accepted or not,Reason for not following,Reason for not accepted
flutter/flutter#39124c2,Description of problem,Related issue,Add,0,1,Resolved the problem in another location,
nodejs/node#36178c1,Description of problem,Related issue,Add,1,1,,
nodejs/node#8896c1,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#44843c2,Description of motivation,Motivation,Add,1,1,,
nodejs/node#32438c2,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#17277c1,Description of implementation,Function summary,Update,0,1,Suggestion is posted after pull request closure,
tensorflow/tensorflow#51475c4,Description of implementation,Function summary,Update,1,1,,
tensorflow/tensorflow#51475c4,Description of quality,Test,Update,1,1,,
flutter/flutter#26438c4,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#26438c4,Description of implementation,Technical details,Add,1,1,,
nodejs/node#41749c16,Description of problem,Related issue,Add,0,1,No explanation given,
flutter/flutter#34015c2,Description of implementation,Function summary,Add,0,0,Resolved the problem in another location,
facebook/react-native#11117c7,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
facebook/react-native#11117c7,Description of implementation,Trade-off,Add,0,0,Resolved the problem in another location,
facebook/react-native#11117c7,Description of quality,Test,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#36324c1,Description of problem,Problem statement,Add,1,1,,
facebook/react#3523c2,Miscellaneous,Language change,Update,0,0,No explanation given,
nodejs/node#23695c3,Description of problem,Related issue,Add,1,1,,
tensorflow/tensorflow#30890c1,Description of implementation,Function summary,Update,1,1,,
nodejs/node#1660c34,Description of implementation,Function summary,Add,0,1,Resolved the problem in another location,
flutter/flutter#41480c1,Description of motivation,Motivation,Add,1,1,,
nodejs/node#4682c74,Description of implementation,Function summary,Update,0,1,Resolved the problem in another location,
nodejs/node#47233c16,Description of implementation,Release notes,Add,0,1,Suggestion is posted after pull request closure,
flutter/flutter#32952c2,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react-native#10112c3,Description of motivation,Motivation,Update,1,1,,
facebook/react-native#33682c6,Description of problem,Problem statement,Update,0,0,No explanation given,
nodejs/node#47339c2,Description of implementation,Release notes,Add,0,1,No explanation given,
flutter/flutter#87801c1,Description of implementation,Technical details,Add,1,1,,
tensorflow/tensorflow#55332c5,Description of implementation,Function summary,Add,1,1,,
facebook/react-native#15252c6,Description of motivation,Motivation,Add,0,0,No explanation given,
tensorflow/tensorflow#50884c8,Description of implementation,Function summary,Add,1,0,,No response from developer
flutter/flutter#27345c5,Description of quality,Test,Update,1,0,,Replaced by another pull request
facebook/react-native#12369c2,Description of quality,Test,Add,0,0,No explanation given,
facebook/react-native#12369c2,Description of motivation,Motivation,Add,0,0,No explanation given,
tensorflow/tensorflow#43545c2,Description of implementation,Technical details,Update,1,1,,
nodejs/node#32131c3,Description of problem,Related issue,Add,1,1,,
electron/electron#12954c1,Description of implementation,Function summary,Add,1,1,,
electron/electron#12954c1,Description of motivation,Motivation,Add,1,1,,
microsoft/vscode#53931c1,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#102856c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
kubernetes/kubernetes#77463c4,Description of implementation,Trade-off,Add,0,0,No explanation given,
kubernetes/kubernetes#104832c3,Description of problem,Problem statement,Add,1,1,,
kubernetes/kubernetes#104832c5,Description of implementation,Trade-off,Update,0,1,Suggestion is incorrect,
kubernetes/kubernetes#104832c10,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#32363c8,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#29240c10,Description of implementation,Function summary,Add,0,1,No explanation given,
kubernetes/kubernetes#29240c10,Description of motivation,Motivation,Add,0,1,No explanation given,
kubernetes/kubernetes#88041c8,Description of implementation,Release notes,Update,0,0,No explanation given,
kubernetes/kubernetes#49457c14,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#96834c9,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#60959c3,Description of problem,Problem statement,Add,1,1,,
kubernetes/kubernetes#86139c80,Description of implementation,Effect,Add,1,1,,
kubernetes/kubernetes#13901c8,Description of problem,Related issue,Update,0,0,No explanation given,
kubernetes/kubernetes#53449c3,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
kubernetes/kubernetes#22355c1,Description of problem,Problem statement,Add,0,1,No explanation given,
kubernetes/kubernetes#113556c4,Description of implementation,Release notes,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#33080c23,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#112950c9,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#99424c6,Description of implementation,Release notes,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#40312c7,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#95069c9,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#55172c7,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#6195c5,Description of problem,Related issue,Add,0,0,No explanation given,
kubernetes/kubernetes#98829c8,Description of implementation,Function summary,Add,1,1,,
kubernetes/kubernetes#98829c9,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#98772c6,Description of implementation,Function summary,Add,0,0,No explanation given,
kubernetes/kubernetes#109111c61,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#53328c21,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#112373c5,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#113232c6,Description of motivation,Motivation,Add,1,0,,No response from developer
kubernetes/kubernetes#39656c5,Miscellaneous,Follow-up work,Add,0,1,No explanation given,
kubernetes/kubernetes#102901c1,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#56911c4,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#102147c31,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#105347c3,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#105347c3,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#94125c20,Description of implementation,Release notes,Add,0,1,Suggestion is incorrect,
kubernetes/kubernetes#96806c10,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#10753c7,Description of problem,Related issue,Add,0,1,Suggestion is incorrect,
kubernetes/kubernetes#69209c8,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#112988c3,Description of implementation,Function summary,Update,0,1,No explanation given,
kubernetes/kubernetes#99999c6,Description of implementation,Release notes,Add,0,1,No explanation given,
kubernetes/kubernetes#71922c7,Miscellaneous,Format change,Update,1,1,,
kubernetes/kubernetes#115453c7,Description of quality,Test,Add,1,1,,
kubernetes/kubernetes#41410c2,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#102158c10,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#31652c16,Description of implementation,Effect,Add,1,1,,
kubernetes/kubernetes#77623c2,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#32351c16,Description of implementation,Trade-off,Add,1,1,,
kubernetes/kubernetes#15645c2,Description of motivation,Motivation,Add,0,1,No explanation given,
kubernetes/kubernetes#115019c13,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#52616c26,Description of problem,Problem statement,Update,0,0,Resolved the problem in another location,
kubernetes/kubernetes#115149c25,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#45492c7,Description of problem,Problem statement,Update,0,1,Resolved the problem in another location,
kubernetes/kubernetes#40674c6,Description of implementation,Function summary,Add,1,0,,No response from developer
kubernetes/kubernetes#39852c17,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#40206c3,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#90365c8,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#36245c9,Description of implementation,Release notes,Add,0,1,No explanation given,
kubernetes/kubernetes#96656c7,Description of motivation,Motivation,Add,1,0,,No response from developer
kubernetes/kubernetes#53031c26,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#111339c26,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#111339c30,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#78280c7,Description of problem,Related issue,Add,0,1,Suggestion is incorrect,
kubernetes/kubernetes#110191c13,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#45952c3,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#107028c6,Description of implementation,Release notes,Add,0,0,No explanation given,
kubernetes/kubernetes#47421c6,Description of implementation,Release notes,Add,0,0,No explanation given,
kubernetes/kubernetes#116968c17,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#98096c5,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#32378c6,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#112914c13,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#73323c2,Miscellaneous,Format change,Update,1,1,,
kubernetes/kubernetes#73323c5,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#42576c5,Description of implementation,Release notes,Add,1,0,,No response from developer
kubernetes/kubernetes#63413c16,Description of implementation,Technical details,Add,0,0,Resolved the problem in another location,
kubernetes/kubernetes#36603c12,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#63453c4,Description of implementation,Function summary,Add,1,1,,
kubernetes/kubernetes#63453c4,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#23267c2,Description of implementation,Function summary,Add,0,0,No explanation given,
kubernetes/kubernetes#47436c19,Description of problem,Related issue,Add,0,0,Suggestion is incorrect,
kubernetes/kubernetes#98311c11,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#108410c9,Miscellaneous,Format change,Update,1,1,,
kubernetes/kubernetes#103508c8,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#6959c2,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
kubernetes/kubernetes#2142c11,Description of implementation,Function summary,Update,0,1,Resolved the problem in another location,
kubernetes/kubernetes#54355c3,Description of implementation,Function summary,Update,1,0,,No response from developer
kubernetes/kubernetes#32194c4,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#98847c19,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#115318c5,Description of problem,Related issue,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#113160c3,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#93702c4,Miscellaneous,Format change,Update,1,1,,
kubernetes/kubernetes#93702c4,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#113503c3,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#77314c7,Description of problem,Problem statement,Add,0,1,Resolved the problem in another location,
kubernetes/kubernetes#22772c6,Description of problem,Related issue,Add,0,1,No explanation given,
kubernetes/kubernetes#36050c16,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#88866c1,Description of problem,Related issue,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#110747c14,Description of implementation,Release notes,Add,0,1,Suggestion is incorrect,
kubernetes/kubernetes#43545c2,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#99519c7,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#115749c2,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#83498c3,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#110294c38,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#32182c9,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#87863c7,Description of problem,Related issue,Add,1,0,,No response from developer
kubernetes/kubernetes#32515c6,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#113916c16,Description of implementation,Release notes,Add,0,1,No explanation given,
kubernetes/kubernetes#54215c11,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#35805c42,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#42546c13,Description of problem,Related issue,Add,0,0,No explanation given,
kubernetes/kubernetes#4780c8,Description of implementation,Function summary,Update,0,1,No explanation given,
kubernetes/kubernetes#57578c5,Description of implementation,Release notes,Update,1,0,,No response from developer
kubernetes/kubernetes#32275c5,Description of implementation,Trade-off,Add,1,1,,
kubernetes/kubernetes#73202c3,Description of implementation,Function summary,Add,1,1,,
kubernetes/kubernetes#104101c5,Description of implementation,Release notes,Add,0,0,No explanation given,
kubernetes/kubernetes#115363c4,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#23756c23,Description of implementation,Function summary,Update,0,1,Resolved the problem in another location,
kubernetes/kubernetes#110937c5,Description of motivation,Motivation,Add,0,0,No explanation given,
kubernetes/kubernetes#110937c5,Description of problem,Related issue,Add,0,0,No explanation given,
kubernetes/kubernetes#115471c6,Description of implementation,Release notes,Add,1,0,,Incorrect or inappropriate change
kubernetes/kubernetes#49142c4,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#105935c13,Description of implementation,Release notes,Add,1,0,,Incorrect or inappropriate change
kubernetes/kubernetes#101960c34,Description of problem,Related issue,Add,0,1,No explanation given,
kubernetes/kubernetes#61592c3,Description of problem,Related issue,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#47579c7,Description of problem,Related issue,Update,0,1,Suggestion is incorrect,
kubernetes/kubernetes#54144c7,Description of implementation,Release notes,Add,0,0,Suggestion is posted after pull request closure,
kubernetes/kubernetes#98262c6,Description of implementation,Release notes,Add,1,0,,No response from developer
kubernetes/kubernetes#77751c2,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#115399c13,Description of motivation,Motivation,Add,1,1,,
kubernetes/kubernetes#111634c13,Description of problem,Related issue,Update,0,1,Resolved the problem in another location,
kubernetes/kubernetes#35806c3,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#36492c9,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#55728c2,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#110193c8,Description of problem,Related issue,Update,1,0,,No response from developer
kubernetes/kubernetes#106553c7,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#82100c3,Description of implementation,Category of pull request,Update,0,1,No explanation given,
kubernetes/kubernetes#102275c10,Description of problem,Related issue,Update,1,0,,Incorrect or inappropriate change
kubernetes/kubernetes#44950c4,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#55026c11,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#89870c9,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#31828c19,Description of implementation,Trade-off,Add,0,1,Suggestion is posted after pull request closure,
kubernetes/kubernetes#29284c3,Description of motivation,Motivation,Add,0,1,No explanation given,
kubernetes/kubernetes#67403c4,Description of implementation,Release notes,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#69878c6,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#99195c9,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#85412c9,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#89251c3,Description of implementation,Release notes,Add,1,0,,Incorrect or inappropriate change
kubernetes/kubernetes#111620c8,Description of implementation,Release notes,Add,0,1,Suggestion is incorrect,
kubernetes/kubernetes#64930c2,Description of implementation,Release notes,Add,1,0,,Incorrect or inappropriate change
kubernetes/kubernetes#46743c5,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#55218c4,Description of implementation,Effect,Add,0,1,Resolved the problem in another location,
kubernetes/kubernetes#51660c12,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#75547c6,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#84335c3,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#87455c9,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#105159c6,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#34700c4,Description of implementation,Effect,Add,0,0,No explanation given,
kubernetes/kubernetes#100540c11,Description of problem,Problem statement,Add,0,1,No explanation given,
kubernetes/kubernetes#102354c58,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#61130c6,Description of problem,Related issue,Add,1,0,,Replaced by another pull request
kubernetes/kubernetes#8740c7,Description of implementation,Release notes,Add,0,1,No explanation given,
kubernetes/kubernetes#91145c3,Description of implementation,Release notes,Update,1,1,,
kubernetes/kubernetes#113422c4,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#80024c5,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#80176c19,Description of implementation,Release notes,Add,1,1,,
kubernetes/kubernetes#96828c20,Description of implementation,Function summary,Update,1,1,,
kubernetes/kubernetes#88615c6,Description of motivation,Motivation,Add,0,0,No explanation given,
kubernetes/kubernetes#57262c3,Description of implementation,Release notes,Add,0,0,No explanation given,
kubernetes/kubernetes#113161c8,Description of implementation,Release notes,Update,0,0,No explanation given,
kubernetes/kubernetes#96907c11,Description of problem,Related issue,Update,1,1,,
kubernetes/kubernetes#89883c6,Description of implementation,Release notes,Add,1,0,,No response from developer
kubernetes/kubernetes#57194c4,Description of problem,Related issue,Add,1,1,,
kubernetes/kubernetes#67778c1,Description of implementation,Release notes,Add,1,1,,
